indicator,address_family,score,band,independence_classes,sources,categories,tags,first_seen,last_seen,source_reference
209.38.105.72,v4,75.14,high,binary_defense|blocklist_de|turris,binary_defense|blocklist_de|turris_greylist,brute-force|malware-infrastructure|scanning|web-attack,,2026-08-26T00:00:00+00:00,2026-08-29T00:00:00+00:00,
209.38.110.255,v4,65.01,high,binary_defense|turris,binary_defense|turris_greylist,brute-force|malware-infrastructure|scanning,,2026-08-27T00:00:00+00:00,2026-08-29T00:00:00+00:00,
209.38.131.131,v4,89.35,high,cins|turris,cins_army|ipsum_levels|turris_greylist,aggregate|brute-force|scanning|spam-source|web-attack,ipsum-level-3|ipsum-level-4|turris-ftp|turris-http|turris-smtp|turris-telnet,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
209.38.208.202,v4,87.62,high,blocklist_de|ipthreat,blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3,2026-08-13T00:00:00+00:00,2026-09-01T00:00:00+00:00,
209.38.237.29,v4,85.57,high,blocklist_de|turris,blocklist_de|ipsum_levels|turris_greylist,aggregate|brute-force|scanning|spam-source|web-attack,ipsum-level-3|ipsum-level-4|turris-ftp|turris-http|turris-smtp|turris-telnet,2026-08-21T00:00:00+00:00,2026-09-01T00:00:00+00:00,
209.42.26.168,v4,76.64,high,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,,2026-08-25T00:00:00+00:00,2026-08-29T00:00:00+00:00,
209.45.31.170,v4,88.70,high,blocklist_de|ipthreat,blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipthreat-level-75,2026-08-31T00:00:00+00:00,2026-09-01T00:00:00+00:00,
209.50.160.0/19,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL692221
209.61.123.133,v4,89.53,high,blocklist_de|ipthreat,blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-100,2026-08-30T00:00:00+00:00,2026-09-01T00:00:00+00:00,
209.66.0.0/18,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL502941
209.66.128.0/19,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL180438
209.79.220.0/22,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL624912
209.95.64.0/19,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL502940
209.95.192.0/19,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL107139
209.99.184.0/21,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL697040
209.99.185.81,v4,85.10,high,binary_defense|blocklist_de,binary_defense|blocklist_de,brute-force|malware-infrastructure|scanning|web-attack,,2026-08-26T00:00:00+00:00,2026-08-29T00:00:00+00:00,
209.99.185.98,v4,85.10,high,binary_defense|blocklist_de,binary_defense|blocklist_de,brute-force|malware-infrastructure|scanning|web-attack,,2026-08-26T00:00:00+00:00,2026-08-29T00:00:00+00:00,
209.99.185.118,v4,85.10,high,binary_defense|blocklist_de,binary_defense|blocklist_de,brute-force|malware-infrastructure|scanning|web-attack,,2026-08-20T00:00:00+00:00,2026-08-29T00:00:00+00:00,
209.99.187.10,v4,91.54,high,blocklist_de|turris,blocklist_de|ipsum_levels|turris_greylist,aggregate|brute-force|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5|turris-http|turris-telnet,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
209.99.190.174,v4,95.76,high,binary_defense|blocklist_de|turris,binary_defense|blocklist_de|ipsum_levels|turris_greylist,aggregate|brute-force|malware-infrastructure|scanning|web-attack,ipsum-level-3|turris-http|turris-telnet,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
209.99.191.217,v4,87.67,high,binary_defense|blocklist_de,binary_defense|blocklist_de,brute-force|malware-infrastructure|scanning|web-attack,,2026-08-26T00:00:00+00:00,2026-08-29T00:00:00+00:00,
209.120.205.0/24,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL630035
209.126.3.224,v4,67.37,medium,cins|ipthreat,cins_army|ipthreat,brute-force|reported-abuse|scanning,ipthreat-level-0,2026-08-31T00:00:00+00:00,2026-09-01T00:00:00+00:00,
209.141.43.146,v4,93.54,high,blocklist_de|ipthreat,blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-75,2026-08-28T00:00:00+00:00,2026-09-01T00:00:00+00:00,
209.141.51.90,v4,93.31,high,blocklist_de|cins|turris,blocklist_de|cins_army|ipsum_levels|turris_greylist,aggregate|brute-force|scanning|web-attack,ipsum-level-3|ipsum-level-4|turris-http|turris-telnet,2026-08-19T00:00:00+00:00,2026-09-01T00:00:00+00:00,
209.147.81.0/24,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL695716
